id,url,display_url,content_type,engagement_score_view,followers,likes,num_comments,product_type,profile_image_link,video_view_count,videos,tags,has_a_person,vape_present,is_vaping,tone,img_mentions_brands,text_mentions_brands,Health_ad,target_demographic,location_type,emotion_displayed,type_of_content,stance,are_there_children,post_style,people_skin_color,people_gender,people_age_group,people_physical_attributes,people_hair_color,people_common_appearances,depiction_style,is_vape_related,sensitive_content_bool
189,https://www.instagram.com/p/CJ80XswANaO/,https://www.instagram.com/p/CJ80XswANaO/media/?size=l,Image,0,1792,3,0,,https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/28151354_169064250543217_1553260409903906816_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=101&_nc_ohc=OrEGCruCWnoQ7kNvgH5DfA-&_nc_gid=23a276a47243456e874f66afb8cffb55&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AYBkdPu1mLCWdy2UCj_8Rh6Z_T2KxJYANQpRDFZk54XBNg&oe=67303053&_nc_sid=4f4799,0,[],"['vaping', 'health warning', 'anti-vaping', 'nicotine addiction', 'e-cigarettes', 'public health']",0,1,0,Negative,1,1,1,"['teenagers', 'parents', 'general audience']",Public,,Advertisement,Anti-Vaping,0,Informational Announcement,[],[],[],[],[],[],,1,0
1340,https://www.instagram.com/p/C3V6TndvA6B/,https://www.instagram.com/p/C3V6TndvA6B/media/?size=l,Image,0,159,2,0,,https://instagram.flpb1-1.fna.fbcdn.net/v/t51.2885-19/65181107_488520088408540_4434894117868142592_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.flpb1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=ESDCpCFmV3EQ7kNvgEpTR4V&_nc_gid=fedb4f4971c5442689d6dba4c10bf952&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AYBzyH-RJSbyLXNFf9s169saNiPmVdnXb6lIua4fes7ckg&oe=67303405&_nc_sid=4f4799,0,[],"['infographic', 'teen brain', 'drug addiction', 'e-cigarettes', 'educational', 'warning']",0,0,0,Negative,0,0,1,"['teenagers', 'young adults']",Public,,Informational Graphic,Anti-Vaping,0,"Informational, Educational",[],[],[],[],[],[],,1,0
591,https://www.instagram.com/p/B_1KaA9FRwS/,https://www.instagram.com/p/B_1KaA9FRwS/media/?size=l,Image,0,10174,12,0,,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/134984973_401617437789940_4342365335177500555_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=0PcSXhMZ_7YQ7kNvgGPNfoi&_nc_gid=5ff7ba8424f6416e975e27f2ebee2a7a&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AYB_rCq8M9vcFQOauyfmQpRg60_bLYAa0GcrkCEJyvYwcw&oe=67301B3B&_nc_sid=4f4799,0,[],"['smoking', 'quit smoking', 'health', 'cigarettes', 'anti-smoking']",0,0,0,Negative,0,0,1,"['smokers', 'general audience']",Indoor,,Advertisement,Anti-Vaping,0,Informational Promotion,[],[],[],[],[],[],,1,0
553,https://www.instagram.com/p/CN-XV1crfjx/,https://www.instagram.com/p/CN-XV1crfjx/media/?size=l,Image,0,9,3,0,,https://instagram.ftun10-2.fna.fbcdn.net/v/t51.2885-19/173149204_455160388921146_529419326128044123_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftun10-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=tv15F8V6JYoQ7kNvgHCBWah&_nc_gid=f89b887d5fd64c07978bf7906bb4761a&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AYBT6sRmrwnHCbjBKk72Kmimu_0AWcvulz2C6p5uyxMilg&oe=67303738&_nc_sid=4f4799,0,[],"['vaping', 'comic', 'humor', 'indoor', 'youth']",1,1,1,Sarcastic,0,0,0,"['young adults', 'teenagers']",Indoor,annoyance,Humor Clip,Anti-Vaping,0,Humor,[],"['Female', 'Male']",['Young'],[],[],['casual'],Neutral,1,0
1738,https://www.instagram.com/p/CgCT8H5oSdo/,https://www.instagram.com/p/CgCT8H5oSdo/media/?size=l,Image,0,318,7,0,,https://instagram.famm11-1.fna.fbcdn.net/v/t51.2885-19/147942390_742476053074060_8384394103124372695_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.famm11-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=Tc_bI5NHmisQ7kNvgH2ilXH&_nc_gid=342590bcf87a4d10bf2077589a48a467&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AYCuU8VvwbW4fSf78SFGwaW2kjCe47SsiraJU15YftNZ5w&oe=67301987&_nc_sid=4f4799,0,[],"['text message', 'gratitude', 'quitting smoking', 'health']",0,0,0,Positive,0,0,1,"['adults', 'general audience']",Private,,Testimonial Message,Anti-Vaping,0,Personal Reflection,[],[],[],[],[],[],,1,0
226,https://www.instagram.com/p/CN22nb4Bxzx/,https://www.instagram.com/p/CN22nb4Bxzx/media/?size=l,Image,0,83,3,0,,https://instagram.fhuy1-1.fna.fbcdn.net/v/t51.2885-19/122098233_1743492129159815_5625128343803536938_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fhuy1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=xx48dqjLp5wQ7kNvgHsHgSp&_nc_gid=e4462d752b0442b8a54ed1ebb129db3f&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AYBkXDzt0Xrg_xiRPiogKZ0s7EY_npvmWb1hFhOzldccGw&oe=673016F5&_nc_sid=4f4799,0,[],"['anti-vaping', 'health warning', 'informational', 'public message']",0,0,0,Negative,0,0,1,['general audience'],Public,,Health Warning,Anti-Vaping,0,Informational Announcement,[],[],[],[],[],[],,1,0
1017,https://www.instagram.com/p/BrfsZSqBEtH/,https://www.instagram.com/p/BrfsZSqBEtH/media/?size=l,Image,0,10,14,1,,https://instagram.flim2-1.fna.fbcdn.net/v/t51.2885-19/46988568_1949968758451160_8721887970291875840_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.flim2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=by5BU_yNXcsQ7kNvgG2R25O&_nc_gid=80f0ec7cd84d448096305bb9508d7db0&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AYCul6injiAA4T-eKt-iUyL5lAyjzi86N-qCQV5n4T48qA&oe=67302E44&_nc_sid=4f4799,0,[],"['vaping', 'cartoon', 'anti-smoking', 'humor', 'outdoor']",1,1,1,Sarcastic,0,1,1,"['teenagers', 'young adults']",Outdoor,happiness,Humor Clip,Anti-Vaping,0,"Humor, Informational",[],[],[],[],[],[],Neutral,1,0
1775,https://www.instagram.com/p/Cq6MUNAOoPt/,https://www.instagram.com/p/Cq6MUNAOoPt/media/?size=l,Image,0,363,14,1,,https://instagram.floh1-1.fna.fbcdn.net/v/t51.2885-19/448719443_7609294275854753_2186895599882885988_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.floh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Z8AjeyXWLukQ7kNvgGoQMLA&_nc_gid=b2d75e0ba6c54eaebd60a97793daabb1&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AYCXWl7vkzaBX91ZBUfem5G-9oMaT0oU39AMaDIAlLtsWw&oe=67302959&_nc_sid=4f4799,0,[],"['infographic', 'tobacco', 'marginalized populations', 'awareness', 'health']",0,0,0,Negative,0,0,1,"['general audience', 'marginalized communities']",Public,,Informational Graphic,Anti-Vaping,0,Informational Announcement,[],[],[],[],[],[],,1,0
1501,https://www.instagram.com/p/C9SB1WKgR9P/,https://www.instagram.com/p/C9SB1WKgR9P/media/?size=l,Image,0,1111,7,0,,https://instagram.famm9-1.fna.fbcdn.net/v/t51.2885-19/277661699_712690399919401_4785005672576390011_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.famm9-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=yodxqTBx_6YQ7kNvgGCeNUr&_nc_gid=bd97baa230ea48a78b061551fc2cdff8&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AYD1yyQR9gH5o-iesdyucuVb-WOwywqOWgR5gZolsbNo5A&oe=67302A7B&_nc_sid=4f4799,0,[],"['vaping', 'education', 'youth', 'indoor', 'presentation']",1,0,0,Negative,0,0,1,"['teenagers', 'young adults']",Indoor,,Informational Presentation,Anti-Vaping,1,Informational Announcement,[],[],[],[],[],[],Neutral,1,0
1329,https://www.instagram.com/p/CsZl18huo7C/,https://www.instagram.com/p/CsZl18huo7C/media/?size=l,Image,0,271,6,1,,https://instagram.fvno2-1.fna.fbcdn.net/v/t51.2885-19/135497891_313429076698301_5779784644225753122_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fvno2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=LfY1E7FrfLcQ7kNvgH7hFa-&_nc_gid=2c96dbdd509b47b0b47ae7a1bf733031&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AYCczOmWgFQ2WFACrIBhL7iH_dF4JFw0LReVFS7dA4Ncgg&oe=67301480&_nc_sid=4f4799,0,[],"['vaping', 'health warning', 'anti-vaping', 'educational', 'public health']",0,0,0,Negative,1,0,1,"['teenagers', 'young adults']",Public,,Health Advertisement,Anti-Vaping,0,"Informational, Announcement",[],[],[],[],[],[],,1,0
